Timestamp,Target Class,Threat Level,Confidence (%),Bounding Box
18:45:43.709,PERSON,ORTA,86,"(279, 290, 1277, 716)"
18:45:43.777,PERSON,ORTA,85,"(276, 286, 1278, 715)"
18:45:43.849,PERSON,ORTA,83,"(277, 283, 1278, 715)"
18:45:43.917,PERSON,ORTA,66,"(297, 295, 1277, 713)"
18:45:43.917,PERSON,ORTA,41,"(443, 295, 1116, 709)"
18:45:43.985,PERSON,ORTA,64,"(82, 291, 1268, 715)"
18:45:44.055,PERSON,ORTA,75,"(386, 287, 1277, 711)"
18:45:44.123,PERSON,ORTA,67,"(458, 289, 828, 715)"
18:45:44.197,PERSON,ORTA,56,"(456, 289, 838, 715)"
18:45:44.270,PERSON,ORTA,66,"(458, 287, 836, 715)"
18:45:44.341,PERSON,ORTA,59,"(452, 291, 833, 715)"
18:45:44.413,PERSON,ORTA,66,"(456, 289, 837, 715)"
18:45:44.647,PERSON,ORTA,70,"(657, 201, 1278, 704)"
18:45:44.647,PERSON,ORTA,47,"(0, 79, 526, 703)"
18:45:44.724,PERSON,ORTA,55,"(638, 207, 1280, 704)"
18:45:44.804,PERSON,ORTA,45,"(641, 232, 1276, 705)"
18:45:44.873,PERSON,ORTA,83,"(78, 285, 1175, 713)"
18:45:44.945,PERSON,ORTA,77,"(102, 283, 1145, 714)"
18:45:45.030,PERSON,ORTA,52,"(262, 286, 1193, 714)"
18:45:45.108,PERSON,ORTA,76,"(57, 286, 1168, 716)"
18:45:45.176,PERSON,ORTA,81,"(85, 279, 1156, 716)"
18:45:45.239,PERSON,ORTA,85,"(97, 284, 1161, 715)"
18:45:45.313,PERSON,ORTA,84,"(80, 292, 1153, 716)"
18:45:45.397,PERSON,ORTA,50,"(71, 278, 838, 714)"
18:45:45.471,PERSON,ORTA,81,"(110, 279, 830, 713)"
18:45:45.547,PERSON,ORTA,61,"(270, 297, 822, 715)"
18:45:45.547,PERSON,ORTA,51,"(698, 5, 1278, 707)"
18:45:45.627,PERSON,ORTA,75,"(275, 297, 823, 717)"
18:45:45.704,PERSON,ORTA,75,"(277, 291, 826, 714)"
18:45:45.767,PERSON,ORTA,61,"(285, 293, 827, 715)"
18:45:45.833,PERSON,ORTA,68,"(261, 297, 824, 716)"
18:45:45.833,PERSON,ORTA,43,"(622, 4, 1276, 713)"
18:45:45.903,PERSON,ORTA,80,"(415, 287, 1173, 711)"
18:45:45.973,PERSON,ORTA,64,"(404, 294, 1120, 712)"
18:45:46.047,PERSON,ORTA,58,"(240, 297, 906, 714)"
18:45:46.122,PERSON,ORTA,82,"(1, 299, 839, 713)"
18:45:46.186,PERSON,ORTA,83,"(0, 295, 828, 712)"
18:45:46.257,PERSON,ORTA,85,"(0, 299, 825, 712)"
18:45:46.326,PERSON,ORTA,74,"(0, 294, 844, 711)"
18:45:46.394,PERSON,ORTA,78,"(0, 293, 834, 714)"
18:45:46.466,PERSON,ORTA,85,"(0, 296, 825, 713)"
18:45:46.538,PERSON,ORTA,81,"(0, 227, 854, 712)"
18:45:46.620,PERSON,ORTA,80,"(0, 191, 850, 713)"
18:45:46.699,PERSON,ORTA,83,"(0, 145, 838, 711)"
18:45:46.776,PERSON,ORTA,74,"(0, 159, 866, 712)"
18:45:46.846,PERSON,ORTA,73,"(1, 65, 853, 713)"
18:45:46.908,PERSON,ORTA,83,"(3, 58, 833, 712)"
18:45:46.972,PERSON,ORTA,78,"(0, 66, 833, 714)"
18:45:47.039,PERSON,ORTA,83,"(0, 226, 836, 711)"
18:45:47.105,PERSON,ORTA,86,"(0, 235, 837, 712)"
18:45:47.175,PERSON,ORTA,90,"(0, 230, 836, 712)"
18:45:47.245,PERSON,ORTA,88,"(0, 144, 886, 710)"
18:45:47.315,PERSON,ORTA,89,"(0, 114, 887, 710)"
18:45:47.388,PERSON,ORTA,87,"(0, 105, 883, 712)"
18:45:47.455,PERSON,ORTA,88,"(0, 127, 862, 711)"
18:45:47.523,PERSON,ORTA,87,"(0, 146, 876, 711)"
18:45:47.592,PERSON,ORTA,83,"(2, 177, 921, 714)"
18:45:47.658,PERSON,ORTA,88,"(11, 295, 957, 713)"
18:45:47.722,PERSON,ORTA,84,"(17, 296, 962, 712)"
18:45:47.791,PERSON,ORTA,88,"(1, 286, 974, 713)"
18:45:47.860,PERSON,ORTA,81,"(2, 228, 957, 712)"
18:45:47.924,PERSON,ORTA,78,"(2, 232, 958, 709)"
18:45:47.991,PERSON,ORTA,80,"(1, 240, 959, 709)"
18:45:48.056,PERSON,ORTA,83,"(4, 282, 941, 712)"
18:45:48.126,PERSON,ORTA,84,"(3, 297, 923, 712)"
18:45:48.193,PERSON,ORTA,86,"(0, 299, 896, 712)"
18:45:48.260,PERSON,ORTA,80,"(0, 301, 869, 712)"
18:45:48.327,PERSON,ORTA,85,"(0, 296, 870, 713)"
18:45:48.395,PERSON,ORTA,82,"(0, 299, 861, 710)"
