Timestamp,Target Class,Threat Level,Confidence (%),Lock Status,Bounding Box
19:13:02.079,PERSON,ORTA,76,NO,"(1, 91, 820, 713)"
19:13:02.141,PERSON,ORTA,83,NO,"(1, 129, 819, 711)"
19:13:02.141,REMOTE,ASAGI,41,NO,"(522, 132, 696, 291)"
19:13:02.201,PERSON,ORTA,69,NO,"(2, 67, 822, 712)"
19:13:02.259,PERSON,ORTA,64,NO,"(478, 216, 821, 711)"
19:13:02.259,PERSON,ORTA,58,NO,"(2, 12, 896, 715)"
19:13:02.314,PERSON,ORTA,72,NO,"(481, 220, 820, 711)"
19:13:02.314,PERSON,ORTA,70,NO,"(1, 3, 575, 703)"
19:13:02.371,PERSON,ORTA,48,NO,"(3, 35, 823, 713)"
19:13:02.427,PERSON,ORTA,80,NO,"(4, 94, 826, 712)"
19:13:02.487,PERSON,ORTA,76,NO,"(1, 134, 820, 710)"
19:13:02.549,PERSON,ORTA,60,NO,"(1, 66, 825, 713)"
19:13:02.607,PERSON,ORTA,73,NO,"(1, 14, 829, 709)"
19:13:02.666,PERSON,ORTA,62,NO,"(490, 219, 824, 711)"
19:13:02.666,PERSON,ORTA,52,NO,"(1, 2, 601, 704)"
19:13:02.725,PERSON,ORTA,62,NO,"(490, 219, 824, 711)"
19:13:02.725,PERSON,ORTA,52,NO,"(1, 2, 601, 704)"
19:13:02.784,PERSON,ORTA,71,NO,"(2, 12, 824, 712)"
19:13:02.842,PERSON,ORTA,74,NO,"(3, 14, 823, 714)"
19:13:02.899,PERSON,ORTA,80,NO,"(0, 118, 819, 711)"
19:13:02.955,PERSON,ORTA,69,NO,"(0, 100, 822, 709)"
19:13:03.013,PERSON,ORTA,81,NO,"(0, 59, 822, 713)"
19:13:03.070,PERSON,ORTA,68,NO,"(3, 7, 826, 713)"
19:13:03.130,PERSON,ORTA,80,NO,"(1, 6, 827, 709)"
19:13:03.192,PERSON,ORTA,71,NO,"(1, 27, 826, 709)"
19:13:03.256,PERSON,ORTA,82,NO,"(9, 227, 826, 709)"
19:13:03.317,PERSON,ORTA,48,NO,"(285, 230, 828, 710)"
19:13:03.377,PERSON,ORTA,79,NO,"(343, 234, 835, 710)"
19:13:03.434,PERSON,ORTA,79,NO,"(343, 234, 835, 710)"
19:13:03.488,PERSON,ORTA,86,NO,"(510, 234, 839, 711)"
19:13:03.552,PERSON,ORTA,87,NO,"(511, 233, 848, 712)"
19:13:03.611,PERSON,ORTA,88,NO,"(512, 231, 853, 712)"
19:13:03.667,PERSON,ORTA,89,NO,"(504, 233, 853, 711)"
19:13:03.722,PERSON,ORTA,88,NO,"(499, 235, 854, 712)"
19:13:03.778,PERSON,ORTA,87,NO,"(486, 238, 853, 714)"
19:13:03.836,PERSON,ORTA,87,NO,"(480, 237, 853, 712)"
19:13:03.898,PERSON,ORTA,88,NO,"(473, 235, 852, 712)"
19:13:03.957,PERSON,ORTA,87,NO,"(464, 239, 852, 712)"
